Id_Entidad,Entidad,E-Mail,Departamento,Ciudad
210205002,Abejorral,hacienda@abejorral-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ABEJORRAL
210354003,Ábrego,alcaldia@abrego-nortedesantander.gov.co,DEPARTAMENTO DE NORTE DE SANTANDER,ABREGO
210405004,Abriaquí,alcaldia@abriaqui-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ABRIAQUI
210650006,Acacías,alcaldia@acacias.gov.co,DEPARTAMENTO DEL META,ACACIAS
210627006,Acandí,contactenos@acandi-choco.gov.co,DEPARTAMENTO DE CHOCO,ACANDI
210641006,Acevedo,hacienda@acevedo-huila.gov.co,DEPARTAMENTO DE HUILA,ACEVEDO
210613006,Achí,alcaldia@achi-bolivar.gov.com,DEPARTAMENTO DE BOLIVAR,ACHI
210125001,Agua de Dios,contador@aguadedios-cundinamarca.gov.co,DEPARTAMENTO DE CUNDINAMARCA,AGUA DE DIOS
211120011,Aguachica,contabilidad@aguachica-cesar.gov.co,DEPARTAMENTO DE CESAR,AGUACHICA
211368013,Aguada - Santander,contactenos@aguada-santander.gov.co,DEPARTAMENTO DE SANTANDER,AGUADA
211317013,Aguadas - Caldas,alcaldia@aguadas-caldas.gov.co,DEPARTAMENTO DE CALDAS,AGUADAS
211085010,Aguazul,hacienda_contabilidad@aguazul-casanare.gov.co,DEPARTAMENTO DE CASANARE,AGUAZUL
211320013,Agustín Codazzi,alcaldia@agustincodazzi-cesar.gov.co,DEPARTAMENTO DE CESAR,AGUSTIN CODAZZI
211641016,Aipe,alcaldia@aipe-huila.gov.co,DEPARTAMENTO DE HUILA,AIPE
211925019,Albán,gobierno@albancundinamarca.gov.co,DEPARTAMENTO DE CUNDINAMARCA,ALBAN
211952019,Albán (San José),alcaldia@alban-narino.gov.co,DEPARTAMENTO DE NARIÑO,ALBAN (SAN JOSE)
212918029,Albania - Caquetá,contactenos@albania-caqueta.gov.co,DEPARTAMENTO DE CAQUETA,ALBANIA (CAQUETA)
213544035,Albania - Guajira,secretariahacienda@albania-laguajira.gov.co,DEPARTAMENTO DE GUAJIRA,ALBANIA (GUAJIRA)
212068020,Albania - Santander,alcaldia@albania-santander.gov.co,DEPARTAMENTO DE SANTANDER,ALBANIA (SANTANDER)
212076020,Alcalá,despacho@alcala-valle.gov.co,DEPARTAMENTO DE VALLE DEL CAUCA,ALCALA
212252022,Aldana,alcaldia@aldana-narino.gov.co,DEPARTAMENTO DE NARIÑO,ALDANA
212105021,Alejandría,hacienda@alejandria-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ALEJANDRIA
213047030,Algarrobo,despacho@algarrobo-magdalena.gov.co,DEPARTAMENTO DE MAGDALENA,ALGARROBO
212041020,Algeciras,alcaldia@algeciras-huila.gov.co,DEPARTAMENTO DE HUILA,ALGECIRAS
212219022,Almaguer,alcaldia@almaguer-cauca.gov.co,DEPARTAMENTO DE CAUCA,ALMAGUER
212215022,Almeida,alcaldia@almeida-boyaca.gov.co,DEPARTAMENTO DE BOYACA,ALMEIDA
212473024,Alpujarra,alcaldia@alpujarra-tolima.gov.co,DEPARTAMENTO DE TOLIMA,ALPUJARRA
212641026,Altamira,contactenos@altamira-huila.gov.co,DEPARTAMENTO DE HUILA,ALTAMIRA
212527025,Alto Baudó (Pie de Pato),contactenos@choco-altobaudo.gov.co,DEPARTAMENTO DE CHOCO,ALTO BAUDO  (PIE DE PATO)
213013030,Alto del Rosario,alcaldia@altosdelrosario-bolivar.gov.co,DEPARTAMENTO DE BOLIVAR,ALTO DEL ROSARIO
212673026,Alvarado,hacienda@alvarado-tolima.gov.co,DEPARTAMENTO DE TOLIMA,ALVARADO
213005030,Amagá,hacienda@amaga-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,AMAGA
213105031,Amalfi,contactenos@amalfi-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,AMALFI
213073030,Ambalema,hacienda@ambalema-tolima.gov.co,DEPARTAMENTO DE TOLIMA,AMBALEMA
213525035,Anapoima,contaccontactenos@anapoima-cundinamarca.gov.co,DEPARTAMENTO DE CUNDINAMARCA,ANAPOIMA
213652036,Ancuya,alcaldia@ancuya-narino.gov.co,DEPARTAMENTO DE NARIÑO,ANCUYA
213676036,Andalucía,contactenos@andalucia-valle.gov.co,DEPARTAMENTO DE VALLE DEL CAUCA,ANDALUCIA
213405034,Andes,hacienda@andes-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ANDES
213605036,Angelópolis,hacienda@angelopolis-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ANGELOPOLIS
213805038,Angostura,gobierno@angostura-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ANGOSTURA
214025040,Anolaima,zabaleta28@hotmail.com,DEPARTAMENTO DE CUNDINAMARCA,ANOLAIMA
214005040,Anorí,tesoreria@anori-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ANORI
214217042,Anserma de los Caballeros,hacienda@anserma-caldas.gov.co,DEPARTAMENTO DE CALDAS,ANSERMA
214176041,Ansermanuevo,alcaldia@ansermanuevo-valle.gov.co,DEPARTAMENTO DE VALLE DEL CAUCA,ANSERMANUEVO
214405044,Anzá,hacienda@anza-antioquia.gov.co,DEPARTAMENTO DE ANTIOQUIA,ANZA
214373043,Anzoátegui,secretariagobierno@anzoategui-tolima.gov.co,DEPARTAMENTO DE TOLIMA,ANZOATEGUI
214505045,Apartadó,direccionfinanciera@apartado.gov.co,DEPARTAMENTO DE ANTIOQUIA,APARTADO
214566045,Apía,alcaldia@apia-risaralda.gov.co,DEPARTAMENTO DE RISARALDA,APIA
219925599,Apulo - Rafael Reyes,alcaldia@apulo-cundinamarca.gov.co,DEPARTAMENTO DE CUNDINAMARCA,APULO (RAFAEL REYES)
214715047,Aquitania,alcaldia@aquitania-boyaca.gov.co,DEPARTAMENTO DE BOYACA,AQUITANIA
215347053,Aracataca,pedrojsanchezr@hotmail.com,DEPARTAMENTO DE MAGDALENA,ARACATACA
215017050,Aranzazu,alcaldia@aranzazu-caldas.gov.co,DEPARTAMENTO DE CALDAS,ARANZAZU
215168051,Aratoca,hacienda@aratoca-santander.gov.co,DEPARTAMENTO DE SANTANDER,ARATOCA
210181001,Arauca,alcaldia@arauca-arauca.gov.co,DEPARTAMENTO DE ARAUCA,ARAUCA
216581065,Arauquita,despacho@arauquita-arauca.gov.co,DEPARTAMENTO DE ARAUCA,ARAUQUITA
215325053,Arbeláez,contactenos@arbelaez-cundinamarca.gov.co,DEPARTAMENTO DE CUNDINAMARCA,ARBELAEZ
